canonical_drug_id,drug_name,assay,match_type,similarity,predicted_label
1079,Dasatinib,caco2_wang,no_match,0.27184466019417475,-5
1079,Dasatinib,clearance_hepatocyte_az,close_analog,0.9848484848484849,28
1079,Dasatinib,clearance_microsome_az,no_match,0.28421052631578947,79
1079,Dasatinib,cyp2c9_substrate_carbonmangels,no_match,0.27184466019417475,0
1079,Dasatinib,cyp2c9_veith,no_match,0.30864197530864196,0
1079,Dasatinib,cyp2d6_substrate_carbonmangels,no_match,0.27184466019417475,0
1079,Dasatinib,cyp2d6_veith,no_match,0.30864197530864196,0
1079,Dasatinib,cyp3a4_substrate_carbonmangels,no_match,0.27184466019417475,1
1079,Dasatinib,cyp3a4_veith,no_match,0.30864197530864196,0
1079,Dasatinib,dili,no_match,0.27184466019417475,1
1079,Dasatinib,half_life_obach,no_match,0.27184466019417475,22
1079,Dasatinib,herg,close_analog,0.9848484848484849,1
1079,Dasatinib,hia_hou,no_match,0.27184466019417475,1
1079,Dasatinib,ld50_zhu,no_match,0.32926829268292684,2
1079,Dasatinib,lipophilicity_astrazeneca,close_analog,0.9848484848484849,3
1079,Dasatinib,pgp_broccatelli,no_match,0.2696629213483146,0
1079,Dasatinib,ppbr_az,no_match,0.35555555555555557,95
1079,Dasatinib,solubility_aqsoldb,no_match,0.2804878048780488,-3
1079,Dasatinib,vdss_lombardo,no_match,0.25806451612903225,0
1373,Dabrafenib,ames,no_match,0.273972602739726,0
1373,Dabrafenib,bbb_martins,no_match,0.21739130434782608,1
1373,Dabrafenib,bioavailability_ma,no_match,0.21739130434782608,1
1373,Dabrafenib,caco2_wang,no_match,0.2191780821917808,-5
1373,Dabrafenib,clearance_hepatocyte_az,no_match,0.3218390804597701,19
1373,Dabrafenib,clearance_microsome_az,no_match,0.3218390804597701,51
1373,Dabrafenib,cyp2c9_substrate_carbonmangels,no_match,0.2328767123287671,0
1373,Dabrafenib,cyp2c9_veith,no_match,0.2638888888888889,0
1373,Dabrafenib,cyp2d6_substrate_carbonmangels,no_match,0.2328767123287671,0
1373,Dabrafenib,cyp2d6_veith,no_match,0.2638888888888889,1
1373,Dabrafenib,cyp3a4_substrate_carbonmangels,no_match,0.2328767123287671,0
1373,Dabrafenib,cyp3a4_veith,no_match,0.2638888888888889,1
1373,Dabrafenib,dili,no_match,0.2222222222222222,1
1373,Dabrafenib,half_life_obach,no_match,0.21739130434782608,7
1373,Dabrafenib,herg,no_match,0.1780821917808219,0
1373,Dabrafenib,hia_hou,no_match,0.2191780821917808,1
1373,Dabrafenib,ld50_zhu,no_match,0.2857142857142857,2
1373,Dabrafenib,lipophilicity_astrazeneca,no_match,0.3218390804597701,2
1373,Dabrafenib,pgp_broccatelli,no_match,0.2328767123287671,0
1373,Dabrafenib,ppbr_az,no_match,0.23711340206185566,99
1373,Dabrafenib,solubility_aqsoldb,no_match,0.29577464788732394,-3
1373,Dabrafenib,vdss_lombardo,no_match,0.20512820512820512,0
1037,BX795,ames,no_match,0.23404255319148937,0
1037,BX795,bbb_martins,no_match,0.26136363636363635,1
1037,BX795,bioavailability_ma,no_match,0.25,1
1037,BX795,caco2_wang,no_match,0.26744186046511625,-4
1037,BX795,clearance_hepatocyte_az,no_match,0.2815533980582524,150
1037,BX795,clearance_microsome_az,no_match,0.2815533980582524,150
1037,BX795,cyp2c9_substrate_carbonmangels,no_match,0.25,0
1037,BX795,cyp2c9_veith,no_match,0.3424657534246575,1
1037,BX795,cyp2d6_substrate_carbonmangels,no_match,0.25,0
1037,BX795,cyp2d6_veith,no_match,0.3424657534246575,0
1037,BX795,cyp3a4_substrate_carbonmangels,no_match,0.25,1
1037,BX795,cyp3a4_veith,no_match,0.3424657534246575,0
1037,BX795,dili,no_match,0.25,1
1037,BX795,half_life_obach,no_match,0.25,22
1037,BX795,herg,no_match,0.2222222222222222,1
1037,BX795,hia_hou,no_match,0.25,1
1037,BX795,ld50_zhu,no_match,0.23404255319148937,2
1037,BX795,lipophilicity_astrazeneca,analog,0.8309859154929577,4
1037,BX795,pgp_broccatelli,no_match,0.26732673267326734,1
1037,BX795,ppbr_az,no_match,0.2828282828282828,99
1037,BX795,solubility_aqsoldb,no_match,0.23655913978494625,-5
1037,BX795,vdss_lombardo,no_match,0.2336448598130841,3
1441,AZD2014,ames,no_match,0.2711864406779661,0
1441,AZD2014,bbb_martins,no_match,0.24285714285714285,1
1441,AZD2014,bioavailability_ma,no_match,0.2235294117647059,1
1441,AZD2014,caco2_wang,no_match,0.2604166666666667,-4
1441,AZD2014,clearance_hepatocyte_az,analog,0.8,10
