thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types
1,Trametinib,1372,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,MAP2K1;MAP2K2,ERK MAPK signaling,approved,thyroid_context_supported,0.9602564102564102,0.4799599703401327,-0.4799599703401327,-0.7924453125,0.2334600494736842,1.0259053619736842,1.0,1.0,False,0.0,16,950,31
2,Staurosporine,1034,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,RTK signaling,screened_candidate,thyroid_context_supported,0.955042735042735,2.739223465323448,-2.739223465323448,-3.242498125,-2.7855827142857144,0.45691541071428565,1.0,0.8500000000000001,False,0.0,16,952,31
3,PD0325901,1060,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,MAP2K1;MAP2K2,ERK MAPK signaling,screened_candidate,thyroid_context_supported,0.9050427350427351,-0.7096683268900961,0.7096683268900961,0.34648475,1.3589901554621848,1.0125054054621847,0.9375,0.8500000000000001,False,0.0,16,952,31
4,Refametinib,1014,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,MAP2K1;MAP2K2,ERK MAPK signaling,screened_candidate,thyroid_context_supported,0.8695726495726496,-1.8724587997421622,1.8724587997421622,1.33403825,2.2902835435016113,0.9562452935016112,1.0,0.8500000000000001,False,0.0,16,931,31
5,Ulixertinib,1908,CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1,EPHB2;MAPK1;MAPK3,ERK MAPK signaling,indication_expansion,thyroid_context_supported,0.8408547008547009,-2.1544026024639606,2.1544026024639606,2.6245585,2.804281290870488,0.17972279087048815,0.75,0.9500000000000001,False,0.0,16,942,31
6,SCH772984,1564,O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1,MAPK1;MAPK3,ERK MAPK signaling,screened_candidate,thyroid_context_supported,0.8298290598290599,-2.5917029306292534,2.5917029306292534,2.1447521875,2.45954982278481,0.3147976352848101,0.8125,0.8500000000000001,False,0.0,16,948,31
7,Selumetinib,1736,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,MAP2K1;MAP2K2,ERK MAPK signaling,indication_expansion,thyroid_context_supported,0.8276068376068376,-2.717894231279691,2.717894231279691,2.9058154999999997,3.93216580141844,1.0263503014184403,0.75,0.9500000000000001,False,0.0,12,705,30
8,Dasatinib,1079,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,ABL;ABL1;ABL2;BCR;BTK;CSK;EPHA2;EPHA5;EPHB4;EPHRINS;FGR;FRK;FYN;HSPA8;KIT;LCK;LYN;MAP3K20;MAPK14;NR4A3;PDGFR;PDGFRB;PPAT;SRC;STAT5B;YES1,Other kinases,indication_expansion,screened_selectivity_candidate,0.8052136752136752,-1.0116481366567314,1.0116481366567314,0.5223526875,1.2985312389006343,0.7761785514006343,0.875,0.4,False,0.0,16,946,31
9,Dabrafenib,1373,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BRAF;LIMK1;NEK11;RAF1;SIK1,ERK MAPK signaling,approved,thyroid_context_supported,0.7987179487179488,-2.9742196947336197,2.9742196947336197,3.5182974375000002,4.265669489339019,0.7473720518390188,0.5625,1.0,False,0.0,16,938,31
10,BX795,1037,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,AURKB;AURKC;IKK;TBK1,Other kinases,screened_candidate,screened_selectivity_candidate,0.7501709401709402,-1.470781683921814,1.470781683921814,2.2385245,2.6916946995515696,0.45317019955156956,1.0,0.3,False,0.0,2,223,24
